=== Trace for PID 2215 ===
Process: ethlink

--- Self PID 2215 Trace ---
  [065] inode: 32770, pc: 0x0004609c, module: busybox
  [066] inode: 32770, pc: 0x000126c4, module: busybox
  [067] inode: 32770, pc: 0x000126bc, module: busybox
  [068] inode: 32770, pc: 0x000126a0, module: busybox
  [069] inode: 32770, pc: 0x0004608c, module: busybox
  [070] inode: 32770, pc: 0x000460c0, module: busybox
  [071] inode: 32770, pc: 0x0004609c, module: busybox
  [072] inode: 32770, pc: 0x000126c4, module: busybox
  [073] inode: 32770, pc: 0x000126bc, module: busybox
  [074] inode: 32770, pc: 0x000126a0, module: busybox
  [075] inode: 32770, pc: 0x0004608c, module: busybox
  [076] inode: 32770, pc: 0x000460c0, module: busybox
  [077] inode: 32770, pc: 0x0004609c, module: busybox
  [078] inode: 32770, pc: 0x000126c4, module: busybox
  [079] inode: 32770, pc: 0x000126bc, module: busybox
  [080] inode: 32770, pc: 0x000126a0, module: busybox
  [081] inode: 32770, pc: 0x0004608c, module: busybox
  [082] inode: 32770, pc: 0x000460c0, module: busybox
  [083] inode: 32770, pc: 0x0004609c, module: busybox
  [084] inode: 32770, pc: 0x000126c4, module: busybox
  [085] inode: 32770, pc: 0x000126bc, module: busybox
  [086] inode: 32770, pc: 0x000126a0, module: busybox
  [087] inode: 32770, pc: 0x0004608c, module: busybox
  [088] inode: 32770, pc: 0x000460c0, module: busybox
  [089] inode: 32770, pc: 0x0004609c, module: busybox
  [090] inode: 32770, pc: 0x000126c4, module: busybox
  [091] inode: 32770, pc: 0x000126bc, module: busybox
  [092] inode: 32770, pc: 0x000126a0, module: busybox
  [093] inode: 32770, pc: 0x0004608c, module: busybox
  [094] inode: 32770, pc: 0x000460c0, module: busybox
  [095] inode: 32770, pc: 0x0004609c, module: busybox
  [096] inode: 32770, pc: 0x000126c4, module: busybox
  [097] inode: 32770, pc: 0x000126bc, module: busybox
  [098] inode: 32770, pc: 0x000126a0, module: busybox
  [099] inode: 32770, pc: 0x0004608c, module: busybox
  [100] inode: 32770, pc: 0x000460c0, module: busybox
  [101] inode: 32770, pc: 0x0004609c, module: busybox
  [102] inode: 32770, pc: 0x000126c4, module: busybox
  [103] inode: 32770, pc: 0x000126bc, module: busybox
  [104] inode: 32770, pc: 0x000126a0, module: busybox
  [105] inode: 32770, pc: 0x0004608c, module: busybox
  [106] inode: 32770, pc: 0x000460c0, module: busybox
  [107] inode: 32770, pc: 0x0004609c, module: busybox
  [108] inode: 32770, pc: 0x000126c4, module: busybox
  [109] inode: 32770, pc: 0x000126bc, module: busybox
  [110] inode: 32770, pc: 0x000126a0, module: busybox
  [111] inode: 32770, pc: 0x0004608c, module: busybox
  [112] inode: 32770, pc: 0x000460c0, module: busybox
  [113] inode: 32770, pc: 0x0004609c, module: busybox
  [114] inode: 32770, pc: 0x000126c4, module: busybox
  [115] inode: 32770, pc: 0x000126bc, module: busybox
  [116] inode: 32770, pc: 0x000126a0, module: busybox
  [117] inode: 32770, pc: 0x0004608c, module: busybox
