=== Trace for PID 2811 ===
Process: setup.cgi

--- Self PID 2811 Trace ---
  [235] inode: 41344, pc: 0x0001f960, module: setup.cgi
  [236] inode: 49218, pc: 0x0004cd00, module: libuClibc-0.9.30.so
  [237] inode: 41344, pc: 0x0001f968, module: setup.cgi
  [238] inode: 41344, pc: 0x0001f978, module: setup.cgi
  [239] inode: 49218, pc: 0x0004cd00, module: libuClibc-0.9.30.so
  [240] inode: 41344, pc: 0x0001f984, module: setup.cgi
  [241] inode: 49218, pc: 0x0002f920, module: libuClibc-0.9.30.so
  [242] inode: 41344, pc: 0x0001f99c, module: setup.cgi
  [243] inode: 41344, pc: 0x0001f9c4, module: setup.cgi
  [244] inode: 41344, pc: 0x0001fa54, module: setup.cgi
  [245] inode: 41344, pc: 0x0000ea74, module: setup.cgi
  [246] inode: 41344, pc: 0x0000eaa4, module: setup.cgi
  [247] inode: 41344, pc: 0x00020188, module: setup.cgi
  [248] inode: 41344, pc: 0x000213f8, module: setup.cgi
  [249] inode: 41344, pc: 0x0002141c, module: setup.cgi
  [250] inode: 41344, pc: 0x00021428, module: setup.cgi
  [251] inode: 41344, pc: 0x0002143c, module: setup.cgi
  [252] inode: 41344, pc: 0x00021448, module: setup.cgi
  [253] inode: 41344, pc: 0x00020cc4, module: setup.cgi
  [254] inode: 41344, pc: 0x00020d34, module: setup.cgi
  [255] inode: 49218, pc: 0x0002f920, module: libuClibc-0.9.30.so
  [256] inode: 41344, pc: 0x00020d44, module: setup.cgi
  [257] inode: 41344, pc: 0x00020d74, module: setup.cgi
  [258] inode: 41344, pc: 0x00021454, module: setup.cgi
  [259] inode: 41344, pc: 0x00021460, module: setup.cgi
  [260] inode: 41344, pc: 0x0002143c, module: setup.cgi
  [261] inode: 41344, pc: 0x0002146c, module: setup.cgi
  [262] inode: 41344, pc: 0x00020cc4, module: setup.cgi
  [263] inode: 41344, pc: 0x00020d34, module: setup.cgi
  [264] inode: 49218, pc: 0x0002f920, module: libuClibc-0.9.30.so
  [265] inode: 41344, pc: 0x00020d44, module: setup.cgi
  [266] inode: 41344, pc: 0x00020d74, module: setup.cgi
  [267] inode: 41344, pc: 0x00021478, module: setup.cgi
  [268] inode: 41344, pc: 0x00021488, module: setup.cgi
  [269] inode: 41344, pc: 0x000201bc, module: setup.cgi
  [270] inode: 41344, pc: 0x000201cc, module: setup.cgi
  [271] inode: 41344, pc: 0x0000eaac, module: setup.cgi
  [272] inode: 41344, pc: 0x0000ead8, module: setup.cgi
  [273] inode: 41344, pc: 0x00020188, module: setup.cgi
  [274] inode: 41344, pc: 0x000213f8, module: setup.cgi
  [275] inode: 41344, pc: 0x0002141c, module: setup.cgi
  [276] inode: 41344, pc: 0x00021428, module: setup.cgi
  [277] inode: 41344, pc: 0x0002143c, module: setup.cgi
  [278] inode: 41344, pc: 0x00021448, module: setup.cgi
  [279] inode: 41344, pc: 0x00020cc4, module: setup.cgi
  [280] inode: 41344, pc: 0x00020d34, module: setup.cgi
  [281] inode: 49218, pc: 0x0002f920, module: libuClibc-0.9.30.so
  [282] inode: 41344, pc: 0x00020d44, module: setup.cgi
  [283] inode: 41344, pc: 0x00020d74, module: setup.cgi
  [284] inode: 41344, pc: 0x00021454, module: setup.cgi
  [285] inode: 41344, pc: 0x00021460, module: setup.cgi
  [286] inode: 41344, pc: 0x0002143c, module: setup.cgi
  [287] inode: 41344, pc: 0x0002146c, module: setup.cgi
  [288] inode: 41344, pc: 0x00020cc4, module: setup.cgi
  [289] inode: 41344, pc: 0x00020d34, module: setup.cgi
  [290] inode: 49218, pc: 0x0002f920, module: libuClibc-0.9.30.so
  [291] inode: 41344, pc: 0x00020d44, module: setup.cgi
  [292] inode: 41344, pc: 0x00020d74, module: setup.cgi
  [293] inode: 41344, pc: 0x00021478, module: setup.cgi
  [294] inode: 41344, pc: 0x00021488, module: setup.cgi
  [295] inode: 41344, pc: 0x000201bc, module: setup.cgi
  [296] inode: 41344, pc: 0x000201cc, module: setup.cgi
  [297] inode: 41344, pc: 0x0000eae8, module: setup.cgi
  [298] inode: 41344, pc: 0x00021680, module: setup.cgi
  [299] inode: 49218, pc: 0x0002ffa0, module: libuClibc-0.9.30.so
Total Self trace elements: 300

--- Parent PID 774 Trace ---
  [000] inode: 49218, pc: 0x0002d3b0, module: libuClibc-0.9.30.so
  [001] inode: 41301, pc: 0x00001920, module: mini_httpd
  [002] inode: 49218, pc: 0x000248b0, module: libuClibc-0.9.30.so
  [003] inode: 41301, pc: 0x00009564, module: mini_httpd
  [004] inode: 41301, pc: 0x0000184c, module: mini_httpd
  [005] inode: 41301, pc: 0x00001888, module: mini_httpd
  [006] inode: 49218, pc: 0x00012cc0, module: libuClibc-0.9.30.so
  [007] inode: 41301, pc: 0x00001890, module: mini_httpd
  [008] inode: 49218, pc: 0x0000b884, module: libuClibc-0.9.30.so
  [009] inode: 41301, pc: 0x000018a4, module: mini_httpd
  [010] inode: 41301, pc: 0x0000957c, module: mini_httpd
  [011] inode: 41301, pc: 0x000095b0, module: mini_httpd
  [012] inode: 41301, pc: 0x00002104, module: mini_httpd
  [013] inode: 49218, pc: 0x000450bc, module: libuClibc-0.9.30.so
