=== Trace for PID 308 ===
Process: network.cgi

--- Self PID 308 Trace ---
  [277] inode: 41012, pc: 0x0004e2d4, module: libuClibc-0.9.30.so, symbol: malloc
  [278] inode: 16467, pc: 0x00008420, module: boa
  [279] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [280] inode: 16467, pc: 0x00008408, module: boa
  [281] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [282] inode: 16467, pc: 0x00008400, module: boa
  [283] inode: 16467, pc: 0x000083b8, module: boa
  [284] inode: 16467, pc: 0x000087d8, module: boa, symbol: add_cgi_env
  [285] inode: 16467, pc: 0x00008788, module: boa, symbol: add_cgi_env
  [286] inode: 16467, pc: 0x00008b0c, module: boa, symbol: complete_env
  [287] inode: 16467, pc: 0x00008adc, module: boa, symbol: complete_env
  [288] inode: 16467, pc: 0x00008ad0, module: boa, symbol: complete_env
  [289] inode: 16467, pc: 0x00008838, module: boa, symbol: add_cgi_env
  [290] inode: 16467, pc: 0x00008800, module: boa, symbol: add_cgi_env
  [291] inode: 16467, pc: 0x000087ec, module: boa, symbol: add_cgi_env
  [292] inode: 16467, pc: 0x00008498, module: boa
  [293] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [294] inode: 16467, pc: 0x0000846c, module: boa
