=== Trace for PID 2232 ===
Process: mini_httpd

--- Self PID 2232 Trace ---
  [212] inode: 16450, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [213] inode: 41301, pc: 0x00005f4c, module: mini_httpd
  [214] inode: 41301, pc: 0x00005f40, module: mini_httpd
  [215] inode: 41301, pc: 0x000062c8, module: mini_httpd
  [216] inode: 41301, pc: 0x00002058, module: mini_httpd
  [217] inode: 41301, pc: 0x00002044, module: mini_httpd
  [218] inode: 41301, pc: 0x00002034, module: mini_httpd
  [219] inode: 41301, pc: 0x00002020, module: mini_httpd
  [220] inode: 41301, pc: 0x00002018, module: mini_httpd
  [221] inode: 41301, pc: 0x00002000, module: mini_httpd
  [222] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [223] inode: 41301, pc: 0x00002074, module: mini_httpd
  [224] inode: 41301, pc: 0x00002018, module: mini_httpd
  [225] inode: 41301, pc: 0x00002000, module: mini_httpd
  [226] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [227] inode: 41301, pc: 0x00002074, module: mini_httpd
  [228] inode: 41301, pc: 0x00002018, module: mini_httpd
  [229] inode: 41301, pc: 0x00002000, module: mini_httpd
  [230] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [231] inode: 41301, pc: 0x00002074, module: mini_httpd
  [232] inode: 41301, pc: 0x00002018, module: mini_httpd
  [233] inode: 41301, pc: 0x00002000, module: mini_httpd
  [234] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [235] inode: 41301, pc: 0x00002074, module: mini_httpd
  [236] inode: 41301, pc: 0x00002018, module: mini_httpd
  [237] inode: 41301, pc: 0x00002000, module: mini_httpd
  [238] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [239] inode: 41301, pc: 0x00002074, module: mini_httpd
  [240] inode: 41301, pc: 0x00002018, module: mini_httpd
  [241] inode: 41301, pc: 0x00002000, module: mini_httpd
  [242] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [243] inode: 41301, pc: 0x00002074, module: mini_httpd
  [244] inode: 41301, pc: 0x00002018, module: mini_httpd
  [245] inode: 41301, pc: 0x00002000, module: mini_httpd
  [246] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [247] inode: 41301, pc: 0x00002074, module: mini_httpd
  [248] inode: 41301, pc: 0x00002018, module: mini_httpd
  [249] inode: 41301, pc: 0x00002000, module: mini_httpd
  [250] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [251] inode: 41301, pc: 0x00002074, module: mini_httpd
  [252] inode: 41301, pc: 0x00002018, module: mini_httpd
  [253] inode: 41301, pc: 0x00002000, module: mini_httpd
  [254] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [255] inode: 41301, pc: 0x00002074, module: mini_httpd
  [256] inode: 41301, pc: 0x00002018, module: mini_httpd
  [257] inode: 41301, pc: 0x00002000, module: mini_httpd
  [258] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [259] inode: 41301, pc: 0x00002074, module: mini_httpd
  [260] inode: 41301, pc: 0x00002018, module: mini_httpd
  [261] inode: 41301, pc: 0x00002000, module: mini_httpd
  [262] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [263] inode: 41301, pc: 0x00002074, module: mini_httpd
  [264] inode: 41301, pc: 0x00002018, module: mini_httpd
  [265] inode: 41301, pc: 0x00002000, module: mini_httpd
  [266] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [267] inode: 41301, pc: 0x00002074, module: mini_httpd
  [268] inode: 41301, pc: 0x00002018, module: mini_httpd
  [269] inode: 41301, pc: 0x00002000, module: mini_httpd
  [270] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [271] inode: 41301, pc: 0x00002074, module: mini_httpd
  [272] inode: 41301, pc: 0x00002018, module: mini_httpd
  [273] inode: 41301, pc: 0x00002000, module: mini_httpd
  [274] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [275] inode: 41301, pc: 0x00002074, module: mini_httpd
  [276] inode: 41301, pc: 0x00002018, module: mini_httpd
  [277] inode: 41301, pc: 0x00002000, module: mini_httpd
  [278] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [279] inode: 41301, pc: 0x00002074, module: mini_httpd
  [280] inode: 41301, pc: 0x00002018, module: mini_httpd
  [281] inode: 41301, pc: 0x00002000, module: mini_httpd
  [282] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [283] inode: 41301, pc: 0x00002074, module: mini_httpd
  [284] inode: 41301, pc: 0x00002018, module: mini_httpd
  [285] inode: 41301, pc: 0x00002000, module: mini_httpd
  [286] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [287] inode: 41301, pc: 0x00002074, module: mini_httpd
  [288] inode: 41301, pc: 0x00002018, module: mini_httpd
  [289] inode: 41301, pc: 0x00002000, module: mini_httpd
  [290] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [291] inode: 41301, pc: 0x00002074, module: mini_httpd
  [292] inode: 41301, pc: 0x00002018, module: mini_httpd
  [293] inode: 41301, pc: 0x00002000, module: mini_httpd
  [294] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [295] inode: 41301, pc: 0x00002074, module: mini_httpd
  [296] inode: 41301, pc: 0x00002018, module: mini_httpd
  [297] inode: 41301, pc: 0x00002000, module: mini_httpd
  [298] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [299] inode: 41301, pc: 0x00002074, module: mini_httpd
Total Self trace elements: 300

--- Parent PID 774 Trace ---
  [000] inode: 41301, pc: 0x00002514, module: mini_httpd
  [001] inode: 41301, pc: 0x000024e0, module: mini_httpd
  [002] inode: 16450, pc: 0x00010c60, module: libuClibc-0.9.30.so, symbol: __libc_waitpid
  [003] inode: 41301, pc: 0x000024cc, module: mini_httpd
  [004] inode: 41301, pc: 0x000024f0, module: mini_httpd
  [005] inode: 41301, pc: 0x000024e0, module: mini_httpd
  [006] inode: 16450, pc: 0x00010c60, module: libuClibc-0.9.30.so, symbol: __libc_waitpid
  [007] inode: 41301, pc: 0x000024c8, module: mini_httpd
  [008] inode: 16450, pc: 0x0004a89c, module: libuClibc-0.9.30.so, symbol: signal
  [009] inode: 41301, pc: 0x000024b8, module: mini_httpd
  [010] inode: 41301, pc: 0x000094dc, module: mini_httpd, symbol: main
  [011] inode: 41301, pc: 0x00009488, module: mini_httpd, symbol: main
  [012] inode: 41301, pc: 0x00009478, module: mini_httpd, symbol: main
  [013] inode: 41301, pc: 0x00009424, module: mini_httpd, symbol: main
  [014] inode: 41301, pc: 0x00009418, module: mini_httpd, symbol: main
  [015] inode: 41301, pc: 0x000093ac, module: mini_httpd, symbol: main
  [016] inode: 41301, pc: 0x00009398, module: mini_httpd, symbol: main
  [017] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [018] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [019] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [020] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [021] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [022] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [023] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [024] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [025] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [026] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [027] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [028] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [029] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [030] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [031] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [032] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [033] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [034] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
